"B73_noP_all_ONLY","B73_PvsB73_noP_ONLY","MICH_noPvsB73_noP_ONLY","MICH_PvsB73_noP_ONLY","B73_noP_all_B73_PvsB73_noP","B73_noP_all_MICH_noPvsB73_noP","B73_noP_all_MICH_PvsB73_noP","B73_PvsB73_noP_MICH_noPvsB73_noP","B73_PvsB73_noP_MICH_PvsB73_noP","MICH_noPvsB73_noP_MICH_PvsB73_noP","ALL"
NA,NA,NA,NA,"Zm00001eb165870","Zm00001eb380860","Zm00001eb291630","Zm00001eb295250","Zm00001eb325410","Zm00001eb073810","Zm00001eb361620"
NA,NA,NA,NA,"Zm00001eb241910","Zm00001eb185590","Zm00001eb410060","Zm00001eb034290","Zm00001eb129050","Zm00001eb291630","Zm00001eb409270"
NA,NA,NA,NA,"Zm00001eb061160","Zm00001eb324740","Zm00001eb245670","Zm00001eb192900","Zm00001eb313760","Zm00001eb410060","Zm00001eb431590"
NA,NA,NA,NA,"Zm00001eb312500","Zm00001eb293310","Zm00001eb142680","Zm00001eb048730","Zm00001eb388800","Zm00001eb245670","Zm00001eb400570"
NA,NA,NA,NA,"Zm00001eb315490","Zm00001eb343050","Zm00001eb025140","Zm00001eb259120","Zm00001eb303350","Zm00001eb194160","Zm00001eb216290"
NA,NA,NA,NA,"Zm00001eb208800","Zm00001eb161410","Zm00001eb194160","Zm00001eb002090","Zm00001eb403920","Zm00001eb325300","Zm00001eb223810"
NA,NA,NA,NA,"Zm00001eb236370","Zm00001eb365780","Zm00001eb325300","Zm00001eb419700","Zm00001eb345960","Zm00001eb203230","Zm00001eb248810"
NA,NA,NA,NA,"Zm00001eb308100","Zm00001eb316990","Zm00001eb203230","Zm00001eb314670","Zm00001eb169510","Zm00001eb009840","Zm00001eb370810"
NA,NA,NA,NA,"Zm00001eb403560","Zm00001eb025910","Zm00001eb217870","Zm00001eb422270","Zm00001eb011750","Zm00001eb013150","Zm00001eb299830"
NA,NA,NA,NA,"Zm00001eb028030","Zm00001eb124170","Zm00001eb150530","Zm00001eb079980","Zm00001eb045970","Zm00001eb147750","Zm00001eb047740"
NA,NA,NA,NA,"Zm00001eb268150","Zm00001eb233140","Zm00001eb216120","Zm00001eb049240","Zm00001eb164870","Zm00001eb235590","Zm00001eb013100"
NA,NA,NA,NA,"Zm00001eb054950","Zm00001eb143060","Zm00001eb413400","Zm00001eb158530","Zm00001eb024430","Zm00001eb250110","Zm00001eb132020"
NA,NA,NA,NA,"Zm00001eb120060","Zm00001eb046960","Zm00001eb325740","Zm00001eb408260","Zm00001eb275030","Zm00001eb216220","Zm00001eb321670"
NA,NA,NA,NA,"Zm00001eb096870","Zm00001eb206220","Zm00001eb138370","Zm00001eb307660","Zm00001eb393060","Zm00001eb245270","Zm00001eb134700"
NA,NA,NA,NA,"Zm00001eb312390","Zm00001eb414630","Zm00001eb009840","Zm00001eb187200","Zm00001eb139700","Zm00001eb187400","Zm00001eb091250"
NA,NA,NA,NA,"Zm00001eb427430","Zm00001eb413600","Zm00001eb013150","Zm00001eb294830","Zm00001eb272640","Zm00001eb190620","Zm00001eb157270"
NA,NA,NA,NA,"Zm00001eb290780","Zm00001eb211930","Zm00001eb147750","Zm00001eb078570","Zm00001eb237940","Zm00001eb292260","Zm00001eb295470"
NA,NA,NA,NA,"Zm00001eb300260","Zm00001eb162760","Zm00001eb144250","Zm00001eb286300","Zm00001eb410650","Zm00001eb407190","Zm00001eb081810"
NA,NA,NA,NA,"Zm00001eb014930","Zm00001eb121310","Zm00001eb120920","Zm00001eb287130","Zm00001eb074270","Zm00001eb114610","Zm00001eb360640"
NA,NA,NA,NA,"Zm00001eb392010","Zm00001eb117510","Zm00001eb027950","Zm00001eb398950","Zm00001eb322560","Zm00001eb165870","Zm00001eb418470"
NA,NA,NA,NA,"Zm00001eb112490","Zm00001eb109480","Zm00001eb235590","Zm00001eb057750","Zm00001eb099610","Zm00001eb241910","Zm00001eb421310"
NA,NA,NA,NA,"Zm00001eb022980","Zm00001eb194130","Zm00001eb250110","Zm00001eb175260","Zm00001eb206380","Zm00001eb061160","Zm00001eb072290"
NA,NA,NA,NA,"Zm00001eb354650","Zm00001eb067700","Zm00001eb216220","Zm00001eb308420","Zm00001eb236620","Zm00001eb191510","Zm00001eb260810"
NA,NA,NA,NA,"Zm00001eb386530","Zm00001eb321360","Zm00001eb128920","Zm00001eb189060","Zm00001eb402410","Zm00001eb315490","Zm00001eb170770"
NA,NA,NA,NA,"Zm00001eb049310","Zm00001eb432420","Zm00001eb245270","Zm00001eb406510","Zm00001eb399970","Zm00001eb208800","Zm00001eb409710"
NA,NA,NA,NA,"Zm00001eb002620","Zm00001eb242060","Zm00001eb371280","Zm00001eb377160","Zm00001eb234460","Zm00001eb308100","Zm00001eb422440"
NA,NA,NA,NA,"Zm00001eb314840","Zm00001eb316700","Zm00001eb360330","Zm00001eb412420","Zm00001eb340260","Zm00001eb403560","Zm00001eb369470"
NA,NA,NA,NA,"Zm00001eb198950","Zm00001eb008970","Zm00001eb394520","Zm00001eb426270","Zm00001eb048020","Zm00001eb313850","Zm00001eb105190"
NA,NA,NA,NA,"Zm00001eb019570","Zm00001eb114370","Zm00001eb147910","Zm00001eb383280","Zm00001eb405290","Zm00001eb054950","Zm00001eb292010"
NA,NA,NA,NA,"Zm00001eb216310","Zm00001eb019530","Zm00001eb292260","Zm00001eb332260","Zm00001eb234450","Zm00001eb120060","Zm00001eb233290"
NA,NA,NA,NA,"Zm00001eb103250","Zm00001eb409700","Zm00001eb407190","Zm00001eb162710","Zm00001eb066960","Zm00001eb096870","Zm00001eb131430"
NA,NA,NA,NA,"Zm00001eb011240","Zm00001eb148310","Zm00001eb114610","Zm00001eb298290","Zm00001eb093140","Zm00001eb312390","Zm00001eb205940"
NA,NA,NA,NA,"Zm00001eb163000","Zm00001eb309020","Zm00001eb165870","Zm00001eb124100","Zm00001eb018900","Zm00001eb427430","Zm00001eb207060"
NA,NA,NA,NA,"Zm00001eb266490","Zm00001eb158540","Zm00001eb241910","Zm00001eb233850","Zm00001eb370930","Zm00001eb300260","Zm00001eb417350"
NA,NA,NA,NA,"Zm00001eb048920","Zm00001eb400930","Zm00001eb061160","Zm00001eb020710","Zm00001eb429440","Zm00001eb112490","Zm00001eb095750"
NA,NA,NA,NA,"Zm00001eb017180","Zm00001eb222050","Zm00001eb312500","Zm00001eb211890","Zm00001eb082100","Zm00001eb022980","Zm00001eb164070"
NA,NA,NA,NA,"Zm00001eb010410","Zm00001eb208500","Zm00001eb315490","Zm00001eb240460","Zm00001eb113580","Zm00001eb354650","Zm00001eb163020"
NA,NA,NA,NA,"Zm00001eb244570","Zm00001eb251520","Zm00001eb208800","Zm00001eb067900","Zm00001eb285880","Zm00001eb049310","Zm00001eb309370"
NA,NA,NA,NA,"Zm00001eb159290","Zm00001eb011440","Zm00001eb308100","Zm00001eb140320","Zm00001eb404280","Zm00001eb002620","Zm00001eb360170"
NA,NA,NA,NA,"Zm00001eb001640","Zm00001eb169670","Zm00001eb403560","Zm00001eb431560","Zm00001eb416580","Zm00001eb198950","Zm00001eb060020"
NA,NA,NA,NA,"Zm00001eb379570","Zm00001eb353340","Zm00001eb028030","Zm00001eb211920","Zm00001eb004320","Zm00001eb019570","Zm00001eb323340"
NA,NA,NA,NA,"Zm00001eb025450","Zm00001eb192340","Zm00001eb268150","Zm00001eb109110","Zm00001eb036910","Zm00001eb216310","Zm00001eb273940"
NA,NA,NA,NA,"Zm00001eb159910","Zm00001eb229070","Zm00001eb291480","Zm00001eb215510","Zm00001eb078670","Zm00001eb011240","Zm00001eb322910"
NA,NA,NA,NA,"Zm00001eb225380","Zm00001eb409580","Zm00001eb054950","Zm00001eb030380","Zm00001eb293940","Zm00001eb163000","Zm00001eb388590"
NA,NA,NA,NA,"Zm00001eb167710","Zm00001eb239020","Zm00001eb120060","Zm00001eb237580","Zm00001eb345210","Zm00001eb266490","Zm00001eb174190"
NA,NA,NA,NA,"Zm00001eb313970","Zm00001eb314130","Zm00001eb096870","Zm00001eb269300","Zm00001eb426080","Zm00001eb010410","Zm00001eb045560"
NA,NA,NA,NA,"Zm00001eb047630","Zm00001eb093580","Zm00001eb312390","Zm00001eb300920","Zm00001eb109570","Zm00001eb244570","Zm00001eb167720"
NA,NA,NA,NA,"Zm00001eb067190","Zm00001eb411000","Zm00001eb427430","Zm00001eb360750","Zm00001eb011140","Zm00001eb159290","Zm00001eb430590"
NA,NA,NA,NA,"Zm00001eb019580","Zm00001eb162620","Zm00001eb290780","Zm00001eb302560","Zm00001eb164350","Zm00001eb379570","Zm00001eb416190"
NA,NA,NA,NA,"Zm00001eb063890","Zm00001eb327890","Zm00001eb300260","Zm00001eb380860","Zm00001eb293150","Zm00001eb025450","Zm00001eb059030"
NA,NA,NA,NA,"Zm00001eb344160","Zm00001eb392440","Zm00001eb014930","Zm00001eb185590","Zm00001eb365640","Zm00001eb167710","Zm00001eb365820"
NA,NA,NA,NA,"Zm00001eb379950","Zm00001eb258150","Zm00001eb392010","Zm00001eb324740","Zm00001eb426460","Zm00001eb313970","Zm00001eb095030"
NA,NA,NA,NA,"Zm00001eb145390","Zm00001eb349490","Zm00001eb112490","Zm00001eb293310","Zm00001eb236550","Zm00001eb047630","Zm00001eb193690"
NA,NA,NA,NA,"Zm00001eb286610","Zm00001eb370350","Zm00001eb022980","Zm00001eb188460","Zm00001eb389720","Zm00001eb019580","Zm00001eb072810"
NA,NA,NA,NA,"Zm00001eb008910","Zm00001eb287890","Zm00001eb354650","Zm00001eb343050","Zm00001eb207830","Zm00001eb344160","Zm00001eb145070"
NA,NA,NA,NA,"Zm00001eb295510","Zm00001eb077570","Zm00001eb386530","Zm00001eb366510","Zm00001eb141530","Zm00001eb145390","Zm00001eb209960"
NA,NA,NA,NA,"Zm00001eb381940","Zm00001eb361620","Zm00001eb049310","Zm00001eb365780","Zm00001eb243560","Zm00001eb286610","Zm00001eb185950"
NA,NA,NA,NA,"Zm00001eb099440","Zm00001eb409270","Zm00001eb002620","Zm00001eb316990","Zm00001eb323300","Zm00001eb008910","Zm00001eb429290"
NA,NA,NA,NA,"Zm00001eb051370","Zm00001eb431590","Zm00001eb314840","Zm00001eb025910","Zm00001eb099230","Zm00001eb192120","Zm00001eb317020"
NA,NA,NA,NA,"Zm00001eb320010","Zm00001eb400570","Zm00001eb198950","Zm00001eb124170","Zm00001eb310990","Zm00001eb191330","Zm00001eb041600"
NA,NA,NA,NA,"Zm00001eb251680","Zm00001eb216290","Zm00001eb019570","Zm00001eb233140","Zm00001eb041460","Zm00001eb251680","Zm00001eb156930"
NA,NA,NA,NA,"Zm00001eb166980","Zm00001eb223810","Zm00001eb216310","Zm00001eb143060","Zm00001eb017010","Zm00001eb102160","Zm00001eb176760"
NA,NA,NA,NA,"Zm00001eb190260","Zm00001eb248810","Zm00001eb103250","Zm00001eb046960","Zm00001eb185980","Zm00001eb295250","Zm00001eb425050"
NA,NA,NA,NA,"Zm00001eb057350","Zm00001eb370810","Zm00001eb011240","Zm00001eb206220","Zm00001eb101090","Zm00001eb034290","Zm00001eb433410"
NA,NA,NA,NA,"Zm00001eb102160","Zm00001eb299830","Zm00001eb163000","Zm00001eb149730","Zm00001eb088650","Zm00001eb192900","Zm00001eb035550"
NA,NA,NA,NA,"Zm00001eb295250","Zm00001eb047740","Zm00001eb266490","Zm00001eb414630","Zm00001eb147220","Zm00001eb048730","Zm00001eb147840"
NA,NA,NA,NA,"Zm00001eb034290","Zm00001eb013100","Zm00001eb048920","Zm00001eb413600","Zm00001eb266060","Zm00001eb259120","Zm00001eb070890"
NA,NA,NA,NA,"Zm00001eb041700","Zm00001eb132020","Zm00001eb017180","Zm00001eb211930","Zm00001eb101270","Zm00001eb002090","Zm00001eb034650"
NA,NA,NA,NA,"Zm00001eb048730","Zm00001eb321670","Zm00001eb010410","Zm00001eb162760","Zm00001eb308850","Zm00001eb419700","Zm00001eb234600"
NA,NA,NA,NA,"Zm00001eb259120","Zm00001eb134700","Zm00001eb244570","Zm00001eb121310","Zm00001eb401280","Zm00001eb314670","Zm00001eb277950"
NA,NA,NA,NA,"Zm00001eb419700","Zm00001eb091250","Zm00001eb159290","Zm00001eb117510","Zm00001eb006860","Zm00001eb422270","Zm00001eb134020"
NA,NA,NA,NA,"Zm00001eb314670","Zm00001eb157270","Zm00001eb001640","Zm00001eb109480","Zm00001eb309780","Zm00001eb079980","Zm00001eb214230"
NA,NA,NA,NA,"Zm00001eb422270","Zm00001eb295470","Zm00001eb379570","Zm00001eb194130","Zm00001eb073810","Zm00001eb049240","Zm00001eb247770"
NA,NA,NA,NA,"Zm00001eb079980","Zm00001eb081810","Zm00001eb186290","Zm00001eb067700","Zm00001eb369800","Zm00001eb158530","Zm00001eb273900"
NA,NA,NA,NA,"Zm00001eb049240","Zm00001eb360640","Zm00001eb025450","Zm00001eb321360","Zm00001eb386330","Zm00001eb408260","Zm00001eb082890"
NA,NA,NA,NA,"Zm00001eb158530","Zm00001eb418470","Zm00001eb159910","Zm00001eb432420","Zm00001eb291630","Zm00001eb190230","Zm00001eb210140"
NA,NA,NA,NA,"Zm00001eb408260","Zm00001eb421310","Zm00001eb225380","Zm00001eb188220","Zm00001eb410060","Zm00001eb195380","Zm00001eb116470"
NA,NA,NA,NA,"Zm00001eb085780","Zm00001eb072290","Zm00001eb167710","Zm00001eb242060","Zm00001eb245670","Zm00001eb307660","Zm00001eb179330"
NA,NA,NA,NA,"Zm00001eb307660","Zm00001eb260810","Zm00001eb313970","Zm00001eb316700","Zm00001eb025140","Zm00001eb187200","Zm00001eb312180"
NA,NA,NA,NA,"Zm00001eb294830","Zm00001eb185190","Zm00001eb047630","Zm00001eb008970","Zm00001eb194160","Zm00001eb294830","Zm00001eb034370"
NA,NA,NA,NA,"Zm00001eb078570","Zm00001eb170770","Zm00001eb067190","Zm00001eb328420","Zm00001eb325300","Zm00001eb078570","Zm00001eb413100"
NA,NA,NA,NA,"Zm00001eb286300","Zm00001eb189850","Zm00001eb019580","Zm00001eb019530","Zm00001eb203230","Zm00001eb286300","Zm00001eb291380"
NA,NA,NA,NA,"Zm00001eb287130","Zm00001eb409710","Zm00001eb063890","Zm00001eb409700","Zm00001eb150530","Zm00001eb287130","Zm00001eb011250"
NA,NA,NA,NA,"Zm00001eb327050","Zm00001eb422440","Zm00001eb344160","Zm00001eb148310","Zm00001eb325740","Zm00001eb398950","Zm00001eb267550"
NA,NA,NA,NA,"Zm00001eb398950","Zm00001eb369470","Zm00001eb145390","Zm00001eb309020","Zm00001eb138370","Zm00001eb057750","Zm00001eb184660"
NA,NA,NA,NA,"Zm00001eb103510","Zm00001eb105190","Zm00001eb286610","Zm00001eb158540","Zm00001eb009840","Zm00001eb175260","Zm00001eb270150"
NA,NA,NA,NA,"Zm00001eb308420","Zm00001eb292010","Zm00001eb008910","Zm00001eb194270","Zm00001eb013150","Zm00001eb308420","Zm00001eb006390"
NA,NA,NA,NA,"Zm00001eb189060","Zm00001eb195760","Zm00001eb295510","Zm00001eb400930","Zm00001eb147750","Zm00001eb189060","Zm00001eb040560"
NA,NA,NA,NA,"Zm00001eb406510","Zm00001eb233290","Zm00001eb381940","Zm00001eb222050","Zm00001eb144250","Zm00001eb406510","Zm00001eb121300"
NA,NA,NA,NA,"Zm00001eb316310","Zm00001eb131430","Zm00001eb099440","Zm00001eb379130","Zm00001eb120920","Zm00001eb377160","Zm00001eb227200"
NA,NA,NA,NA,"Zm00001eb396640","Zm00001eb205940","Zm00001eb051370","Zm00001eb208500","Zm00001eb027950","Zm00001eb412420","Zm00001eb151610"
NA,NA,NA,NA,"Zm00001eb377160","Zm00001eb207060","Zm00001eb320010","Zm00001eb251520","Zm00001eb070770","Zm00001eb426270","Zm00001eb290800"
NA,NA,NA,NA,"Zm00001eb412420","Zm00001eb417350","Zm00001eb127110","Zm00001eb279820","Zm00001eb235590","Zm00001eb383280","Zm00001eb378870"
NA,NA,NA,NA,"Zm00001eb426270","Zm00001eb095750","Zm00001eb251680","Zm00001eb011440","Zm00001eb250110","Zm00001eb332260","Zm00001eb295610"
NA,NA,NA,NA,"Zm00001eb383280","Zm00001eb164070","Zm00001eb166980","Zm00001eb169670","Zm00001eb386230","Zm00001eb160170","Zm00001eb334650"
NA,NA,NA,NA,"Zm00001eb313530","Zm00001eb163020","Zm00001eb190260","Zm00001eb353340","Zm00001eb216220","Zm00001eb162710","Zm00001eb008290"
NA,NA,NA,NA,"Zm00001eb332260","Zm00001eb309370","Zm00001eb057350","Zm00001eb192340","Zm00001eb245270","Zm00001eb298290","Zm00001eb064400"
NA,NA,NA,NA,"Zm00001eb434090","Zm00001eb360170","Zm00001eb102160","Zm00001eb112830","Zm00001eb371280","Zm00001eb124100","Zm00001eb152460"
NA,NA,NA,NA,"Zm00001eb162710","Zm00001eb060020","Zm00001eb295250","Zm00001eb229070","Zm00001eb190620","Zm00001eb233850","Zm00001eb090350"
NA,NA,NA,NA,"Zm00001eb298290","Zm00001eb323340","Zm00001eb034290","Zm00001eb409580","Zm00001eb360330","Zm00001eb020710","Zm00001eb192780"
NA,NA,NA,NA,"Zm00001eb124100","Zm00001eb273940","Zm00001eb061750","Zm00001eb196550","Zm00001eb394520","Zm00001eb045740","Zm00001eb223090"
NA,NA,NA,NA,"Zm00001eb233850","Zm00001eb322910","Zm00001eb041700","Zm00001eb239020","Zm00001eb147910","Zm00001eb211890","Zm00001eb032600"
NA,NA,NA,NA,"Zm00001eb233170","Zm00001eb388590","Zm00001eb048730","Zm00001eb411550","Zm00001eb292260","Zm00001eb240460","Zm00001eb297620"
NA,NA,NA,NA,"Zm00001eb020710","Zm00001eb174190","Zm00001eb259120","Zm00001eb314130","Zm00001eb407190","Zm00001eb067900","Zm00001eb011610"
NA,NA,NA,NA,"Zm00001eb098970","Zm00001eb045560","Zm00001eb394220","Zm00001eb093580","Zm00001eb114610","Zm00001eb140320","Zm00001eb186250"
NA,NA,NA,NA,"Zm00001eb240460","Zm00001eb167720","Zm00001eb419700","Zm00001eb411000","Zm00001eb165870","Zm00001eb431560","Zm00001eb163940"
NA,NA,NA,NA,"Zm00001eb067900","Zm00001eb430590","Zm00001eb314670","Zm00001eb162620","Zm00001eb241910","Zm00001eb211920","Zm00001eb239700"
NA,NA,NA,NA,"Zm00001eb140320","Zm00001eb416190","Zm00001eb422270","Zm00001eb327890","Zm00001eb061160","Zm00001eb109110","Zm00001eb142630"
NA,NA,NA,NA,"Zm00001eb431560","Zm00001eb059030","Zm00001eb079980","Zm00001eb392440","Zm00001eb312500","Zm00001eb215510","Zm00001eb189890"
NA,NA,NA,NA,"Zm00001eb211920","Zm00001eb365820","Zm00001eb049240","Zm00001eb258150","Zm00001eb191510","Zm00001eb030380","Zm00001eb058620"
NA,NA,NA,NA,"Zm00001eb109110","Zm00001eb095030","Zm00001eb158530","Zm00001eb349490","Zm00001eb315490","Zm00001eb237580","Zm00001eb360950"
NA,NA,NA,NA,"Zm00001eb215510","Zm00001eb193690","Zm00001eb408260","Zm00001eb370350","Zm00001eb208800","Zm00001eb269300","Zm00001eb027100"
NA,NA,NA,NA,"Zm00001eb312490","Zm00001eb072810","Zm00001eb048510","Zm00001eb287890","Zm00001eb308100","Zm00001eb300920","Zm00001eb263180"
NA,NA,NA,NA,"Zm00001eb386680","Zm00001eb145070","Zm00001eb302760","Zm00001eb077570","Zm00001eb403560","Zm00001eb360750","Zm00001eb212420"
NA,NA,NA,NA,"Zm00001eb030380","Zm00001eb200910","Zm00001eb195380","Zm00001eb361620","Zm00001eb178740","Zm00001eb302560","Zm00001eb003890"
NA,NA,NA,NA,"Zm00001eb269300","Zm00001eb209960","Zm00001eb307660","Zm00001eb409270","Zm00001eb313850","Zm00001eb380860","Zm00001eb261870"
NA,NA,NA,NA,"Zm00001eb300920","Zm00001eb185950","Zm00001eb294830","Zm00001eb190660","Zm00001eb028030","Zm00001eb185590","Zm00001eb312690"
NA,NA,NA,NA,"Zm00001eb360750","Zm00001eb429290","Zm00001eb078570","Zm00001eb399980","Zm00001eb268150","Zm00001eb324740","Zm00001eb272020"
NA,NA,NA,NA,"Zm00001eb302560","Zm00001eb317020","Zm00001eb286300","Zm00001eb431590","Zm00001eb054950","Zm00001eb293310","Zm00001eb219860"
NA,NA,NA,NA,"Zm00001eb380860","Zm00001eb041600","Zm00001eb287130","Zm00001eb400570","Zm00001eb120060","Zm00001eb188460","Zm00001eb231720"
NA,NA,NA,NA,"Zm00001eb411100","Zm00001eb156930","Zm00001eb327050","Zm00001eb216290","Zm00001eb096870","Zm00001eb343050","Zm00001eb278260"
NA,NA,NA,NA,"Zm00001eb185590","Zm00001eb176760","Zm00001eb398950","Zm00001eb223810","Zm00001eb312390","Zm00001eb190880","Zm00001eb149750"
NA,NA,NA,NA,"Zm00001eb324740","Zm00001eb425050","Zm00001eb103510","Zm00001eb248810","Zm00001eb427430","Zm00001eb366510","Zm00001eb101660"
NA,NA,NA,NA,"Zm00001eb293310","Zm00001eb433410","Zm00001eb299980","Zm00001eb370810","Zm00001eb309980","Zm00001eb365780","Zm00001eb310470"
NA,NA,NA,NA,"Zm00001eb343050","Zm00001eb035550","Zm00001eb308420","Zm00001eb299830","Zm00001eb290780","Zm00001eb316990","Zm00001eb087650"
NA,NA,NA,NA,"Zm00001eb370310","Zm00001eb147840","Zm00001eb189060","Zm00001eb047740","Zm00001eb349850","Zm00001eb025910","Zm00001eb228230"
NA,NA,NA,NA,"Zm00001eb053440","Zm00001eb070890","Zm00001eb406510","Zm00001eb013100","Zm00001eb300260","Zm00001eb124170","Zm00001eb119910"
NA,NA,NA,NA,"Zm00001eb365780","Zm00001eb034650","Zm00001eb316310","Zm00001eb132020","Zm00001eb253150","Zm00001eb233140","Zm00001eb044160"
NA,NA,NA,NA,"Zm00001eb212250","Zm00001eb234600","Zm00001eb396640","Zm00001eb321670","Zm00001eb014930","Zm00001eb143060","Zm00001eb411540"
NA,NA,NA,NA,"Zm00001eb316990","Zm00001eb277950","Zm00001eb377160","Zm00001eb134700","Zm00001eb392010","Zm00001eb046960","Zm00001eb042270"
NA,NA,NA,NA,"Zm00001eb011760","Zm00001eb134020","Zm00001eb412420","Zm00001eb209360","Zm00001eb424180","Zm00001eb206220","Zm00001eb032690"
NA,NA,NA,NA,"Zm00001eb025910","Zm00001eb214230","Zm00001eb426270","Zm00001eb091250","Zm00001eb112490","Zm00001eb149730","Zm00001eb167910"
NA,NA,NA,NA,"Zm00001eb124170","Zm00001eb247770","Zm00001eb383280","Zm00001eb157270","Zm00001eb022980","Zm00001eb414630","Zm00001eb060500"
NA,NA,NA,NA,"Zm00001eb364200","Zm00001eb273900","Zm00001eb313530","Zm00001eb295470","Zm00001eb354650","Zm00001eb413600","Zm00001eb254030"
NA,NA,NA,NA,"Zm00001eb233140","Zm00001eb082890","Zm00001eb332260","Zm00001eb376930","Zm00001eb386530","Zm00001eb211930","Zm00001eb298310"
NA,NA,NA,NA,"Zm00001eb250940","Zm00001eb210140","Zm00001eb345250","Zm00001eb081810","Zm00001eb049310","Zm00001eb162760","Zm00001eb030390"
NA,NA,NA,NA,"Zm00001eb143060","Zm00001eb116470","Zm00001eb434090","Zm00001eb188050","Zm00001eb002620","Zm00001eb121310","Zm00001eb097750"
NA,NA,NA,NA,"Zm00001eb046960","Zm00001eb179330","Zm00001eb160170","Zm00001eb360640","Zm00001eb314840","Zm00001eb117510","Zm00001eb302700"
NA,NA,NA,NA,"Zm00001eb206220","Zm00001eb312180","Zm00001eb162710","Zm00001eb418470","Zm00001eb198950","Zm00001eb109480","Zm00001eb052840"
NA,NA,NA,NA,"Zm00001eb387350","Zm00001eb034370","Zm00001eb269720","Zm00001eb421310","Zm00001eb019570","Zm00001eb067700","Zm00001eb401810"
NA,NA,NA,NA,"Zm00001eb414630","Zm00001eb223980","Zm00001eb298290","Zm00001eb072290","Zm00001eb216310","Zm00001eb321360","Zm00001eb070900"
NA,NA,NA,NA,"Zm00001eb413600","Zm00001eb413100","Zm00001eb124100","Zm00001eb260810","Zm00001eb409880","Zm00001eb432420","Zm00001eb328310"
NA,NA,NA,NA,"Zm00001eb211930","Zm00001eb291380","Zm00001eb233850","Zm00001eb170770","Zm00001eb103250","Zm00001eb188220","Zm00001eb330590"
NA,NA,NA,NA,"Zm00001eb162760","Zm00001eb011250","Zm00001eb020710","Zm00001eb189850","Zm00001eb011240","Zm00001eb242060","Zm00001eb343010"
NA,NA,NA,NA,"Zm00001eb121310","Zm00001eb267550","Zm00001eb045740","Zm00001eb409710","Zm00001eb163000","Zm00001eb316700","Zm00001eb047200"
NA,NA,NA,NA,"Zm00001eb121630","Zm00001eb184660","Zm00001eb098970","Zm00001eb422440","Zm00001eb266490","Zm00001eb008970","Zm00001eb016250"
NA,NA,NA,NA,"Zm00001eb117510","Zm00001eb270150","Zm00001eb240460","Zm00001eb132370","Zm00001eb048920","Zm00001eb225320","Zm00001eb058750"
NA,NA,NA,NA,"Zm00001eb251820","Zm00001eb006390","Zm00001eb067900","Zm00001eb369470","Zm00001eb017180","Zm00001eb328420","Zm00001eb054800"
NA,NA,NA,NA,"Zm00001eb072660","Zm00001eb040560","Zm00001eb084430","Zm00001eb105190","Zm00001eb010410","Zm00001eb019530","Zm00001eb094730"
NA,NA,NA,NA,"Zm00001eb109480","Zm00001eb121300","Zm00001eb130410","Zm00001eb292010","Zm00001eb244570","Zm00001eb409700","Zm00001eb382100"
NA,NA,NA,NA,"Zm00001eb194130","Zm00001eb227200","Zm00001eb140320","Zm00001eb233290","Zm00001eb159290","Zm00001eb148310","Zm00001eb429870"
NA,NA,NA,NA,"Zm00001eb067700","Zm00001eb151610","Zm00001eb431560","Zm00001eb131430","Zm00001eb001640","Zm00001eb309020","Zm00001eb147710"
NA,NA,NA,NA,"Zm00001eb235980","Zm00001eb290800","Zm00001eb057540","Zm00001eb205940","Zm00001eb379570","Zm00001eb158540","Zm00001eb028370"
NA,NA,NA,NA,"Zm00001eb321360","Zm00001eb378870","Zm00001eb211920","Zm00001eb207060","Zm00001eb025450","Zm00001eb194270","Zm00001eb165000"
NA,NA,NA,NA,"Zm00001eb017790","Zm00001eb295610","Zm00001eb109110","Zm00001eb417350","Zm00001eb159910","Zm00001eb400930","Zm00001eb261430"
NA,NA,NA,NA,"Zm00001eb432420","Zm00001eb334650","Zm00001eb215510","Zm00001eb095750","Zm00001eb225380","Zm00001eb222050","Zm00001eb194100"
NA,NA,NA,NA,"Zm00001eb080230","Zm00001eb008290","Zm00001eb312490","Zm00001eb164070","Zm00001eb167710","Zm00001eb379130","Zm00001eb024180"
NA,NA,NA,NA,"Zm00001eb324550","Zm00001eb064400","Zm00001eb386680","Zm00001eb163020","Zm00001eb313970","Zm00001eb208500","Zm00001eb235530"
NA,NA,NA,NA,"Zm00001eb242060","Zm00001eb152460","Zm00001eb030380","Zm00001eb007840","Zm00001eb047630","Zm00001eb251520","Zm00001eb145680"
NA,NA,NA,NA,"Zm00001eb316700","Zm00001eb090350","Zm00001eb269300","Zm00001eb309370","Zm00001eb067190","Zm00001eb279820","Zm00001eb135940"
NA,NA,NA,NA,"Zm00001eb338530","Zm00001eb192780","Zm00001eb300920","Zm00001eb360170","Zm00001eb019580","Zm00001eb011440","Zm00001eb352700"
NA,NA,NA,NA,"Zm00001eb008970","Zm00001eb223090","Zm00001eb360750","Zm00001eb060020","Zm00001eb063890","Zm00001eb169670","Zm00001eb153660"
NA,NA,NA,NA,"Zm00001eb019530","Zm00001eb032600","Zm00001eb302560","Zm00001eb323340","Zm00001eb344160","Zm00001eb353340","Zm00001eb015960"
NA,NA,NA,NA,"Zm00001eb409700","Zm00001eb297620","Zm00001eb380860","Zm00001eb273940","Zm00001eb163120","Zm00001eb192340","Zm00001eb204960"
